Industry,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Agriculture,37700,38200,36100,36100,36800,42700,40700,43200,40200,41100
Production,156700,149800,158600,154400,164200,173300,172300,162500,165100,165700
Construction,96600,93200,90000,91300,89300,97000,92600,102700,90800,101800
Retail,345400,344500,343100,347300,345100,337300,357700,360200,333500,347600
ICT,27800,27900,26400,27200,26900,35700,24000,34400,58900,31500
Finance,33800,29800,33200,31100,32400,32400,30800,31000,32100,35500
Real_Estate,13500,14600,17600,18800,18000,22200,19100,22700,18200,25200
Professional_Service,144800,145800,143600,137300,149900,152900,166200,161200,176400,187100
Public_Adminstration ,415600,418600,425600,421000,427000,427600,423200,418500,424500,434900
Other_Service,64200,68000,72400,72800,75500,73300,77200,72400,83200,81800
